Tanker Type,Tile,"NW Coor (Long, Lat)","NE Coor (Long, Lat)","SE Coor (Long, Lat)","SW Coor (Long, Lat)",Capture Date,County,State
external_floating_roof_tank,m_3511935_nw_11_060_20180714,"(-119.70580752687417, 35.46709550226149)","(-119.70527598893842, 35.46709550226149)","(-119.70527598893842, 35.46662069785291)","(-119.70580752687417, 35.46662069785291)",20180714,Kern,06
external_floating_roof_tank,m_3511935_nw_11_060_20180714,"(-119.7065365320055, 35.46793903015844)","(-119.70592625984605, 35.46793903015844)","(-119.70592625984605, 35.46748221958677)","(-119.7065365320055, 35.46748221958677)",20180714,Kern,06
external_floating_roof_tank,m_2709921_sw_14_060_20190104,"(-99.43826106897357, 27.68101522875571)","(-99.43807795481797, 27.68101522875571)","(-99.43807795481797, 27.680869560720353)","(-99.43826106897357, 27.680869560720353)",20190104,Webb,48
external_floating_roof_tank,m_2709921_sw_14_060_20190104,"(-99.4380173271957, 27.680923917563263)","(-99.43783419192613, 27.680923917563263)","(-99.43783419192613, 27.68077283272915)","(-99.4380173271957, 27.68077283272915)",20190104,Webb,48
external_floating_roof_tank,m_2709921_sw_14_060_20190104,"(-99.43893634400767, 27.68251347393722)","(-99.43882035001906, 27.68251347393722)","(-99.43882035001906, 27.68241634333348)","(-99.43893634400767, 27.68241634333348)",20190104,Webb,48
external_floating_roof_tank,m_2709921_sw_14_060_20190104,"(-99.43866040255395, 27.68197810988538)","(-99.43853224055117, 27.68197810988538)","(-99.43853224055117, 27.68188101750885)","(-99.43866040255395, 27.68188101750885)",20190104,Webb,48
external_floating_roof_tank,m_2709921_sw_14_060_20190104,"(-99.43739458446268, 27.68191710901855)","(-99.43727859245732, 27.68191710901855)","(-99.43727859245732, 27.681819977092587)","(-99.43739458446268, 27.681819977092587)",20190104,Webb,48
external_floating_roof_tank,m_2709921_sw_14_060_20190104,"(-99.43662203571454, 27.681962875408008)","(-99.4364999599198, 27.681962875408008)","(-99.4364999599198, 27.6818657619767)","(-99.43662203571454, 27.6818657619767)",20190104,Webb,48
external_floating_roof_tank,m_4409534_ne_15_060_20190808,"(-95.77739899554868, 44.47368964855574)","(-95.7771821223444, 44.47368964855574)","(-95.7771821223444, 44.47357069094412)","(-95.77739899554868, 44.47357069094412)",20190808,Lyon,27
external_floating_roof_tank,m_4409534_ne_15_060_20190808,"(-95.77735440595033, 44.473544891610004)","(-95.77716792986573, 44.473544891610004)","(-95.77716792986573, 44.473430595692264)","(-95.77735440595033, 44.473430595692264)",20190808,Lyon,27
