Date,Open,High,Low,Close,Adj Close,Volume
2023-05-12,4.130000,4.210000,4.040000,4.090000,4.061759,2289100
2023-05-15,4.130000,4.190000,4.080000,4.130000,4.101482,1879000
2023-05-16,4.070000,4.130000,3.930000,3.940000,3.912795,2280600
2023-05-17,4.020000,4.100000,3.920000,4.040000,4.012104,3246900
2023-05-18,4.000000,4.130000,3.970000,4.120000,4.091551,1826400
2023-05-19,4.180000,4.230000,4.110000,4.180000,4.151137,1908300
2023-05-22,4.220000,4.450000,4.190000,4.380000,4.349756,2852900
2023-05-23,4.420000,4.450000,4.320000,4.380000,4.349756,2049900
2023-05-24,4.410000,4.450000,4.310000,4.360000,4.329895,1424700
2023-05-25,4.250000,4.300000,4.070000,4.100000,4.071690,1905300
2023-05-26,4.140000,4.170000,3.980000,4.060000,4.031966,1746600
2023-05-30,3.940000,3.970000,3.790000,3.920000,3.892933,3104300
2023-05-31,3.860000,3.890000,3.770000,3.870000,3.843278,2939300
2023-06-01,3.890000,3.990000,3.780000,3.890000,3.863140,2319200
2023-06-02,4.010000,4.060000,3.970000,4.030000,4.002173,2140100
2023-06-05,4.230000,4.300000,4.000000,4.000000,3.972380,1913700
2023-06-06,3.950000,4.130000,3.900000,4.110000,4.081621,1903700
2023-06-07,4.150000,4.300000,4.150000,4.300000,4.270309,2793200
2023-06-08,4.310000,4.340000,4.130000,4.200000,4.170999,1635600
2023-06-09,4.190000,4.240000,4.100000,4.190000,4.161068,1592700
2023-06-12,4.100000,4.180000,3.970000,3.980000,3.952518,2552700
2023-06-13,4.040000,4.190000,4.030000,4.060000,4.031966,2016700
2023-06-14,4.110000,4.140000,3.940000,4.000000,3.972380,2913600
2023-06-15,4.020000,4.090000,3.990000,4.070000,4.041897,1760500
2023-06-16,4.110000,4.120000,3.990000,4.060000,4.031966,2960500
2023-06-20,4.060000,4.060000,3.860000,3.940000,3.912795,2395800
2023-06-21,3.970000,4.050000,3.920000,3.930000,3.902864,1684600
2023-06-22,3.870000,3.870000,3.750000,3.760000,3.734037,2589700
2023-06-23,3.720000,3.740000,3.680000,3.690000,3.664521,3137100
2023-06-26,3.700000,3.810000,3.700000,3.720000,3.694314,1383200
2023-06-27,3.710000,3.840000,3.670000,3.780000,3.753899,1765600
2023-06-28,3.760000,3.850000,3.690000,3.820000,3.793623,1456400
2023-06-29,3.830000,3.920000,3.810000,3.890000,3.863140,1142100
2023-06-30,3.940000,3.950000,3.860000,3.870000,3.843278,1463900
2023-07-03,3.870000,3.930000,3.850000,3.870000,3.843278,709800
2023-07-05,3.890000,3.930000,3.830000,3.860000,3.833347,1295200
2023-07-06,3.820000,3.820000,3.620000,3.740000,3.714175,2621700
2023-07-07,3.740000,3.980000,3.740000,3.940000,3.912795,2976600
2023-07-10,3.900000,4.000000,3.860000,3.900000,3.873071,1540300
2023-07-11,3.940000,4.100000,3.920000,4.090000,4.061759,2687100
2023-07-12,4.150000,4.180000,4.030000,4.100000,4.071690,1961300
2023-07-13,4.120000,4.270000,4.080000,4.140000,4.111413,2046400
2023-07-14,4.140000,4.140000,3.900000,3.900000,3.873071,2226600
2023-07-17,3.880000,3.980000,3.870000,3.920000,3.892933,1298100
2023-07-18,3.940000,4.190000,3.940000,4.160000,4.131275,1971900
2023-07-19,4.250000,4.280000,4.100000,4.120000,4.091551,1867300
2023-07-20,4.200000,4.240000,4.060000,4.100000,4.071690,1559400
2023-07-21,4.140000,4.150000,4.070000,4.110000,4.081621,1238900
2023-07-24,4.130000,4.320000,4.100000,4.280000,4.250447,2407300
2023-07-25,4.250000,4.420000,4.240000,4.410000,4.379549,2205800
2023-07-26,4.400000,4.410000,4.270000,4.280000,4.250447,2293600
2023-07-27,4.350000,4.380000,4.180000,4.200000,4.170999,2040300
2023-07-28,4.250000,4.320000,4.200000,4.290000,4.260378,1729400
2023-07-31,4.340000,4.410000,4.330000,4.380000,4.349756,1838700
2023-08-01,4.300000,4.340000,4.220000,4.310000,4.280240,1687500
2023-08-02,4.140000,4.140000,3.780000,3.940000,3.912795,4704600
2023-08-03,3.950000,4.210000,3.950000,4.120000,4.091551,2558300
2023-08-04,4.150000,4.270000,4.100000,4.140000,4.111413,2220700
2023-08-07,4.140000,4.170000,4.030000,4.100000,4.071690,1707800
2023-08-08,3.990000,4.120000,3.910000,4.120000,4.091551,1620700
2023-08-09,4.170000,4.320000,4.120000,4.190000,4.161068,2802400
2023-08-10,4.190000,4.240000,3.990000,4.040000,4.012104,2338600
2023-08-11,4.020000,4.130000,4.020000,4.120000,4.091551,1401200
2023-08-14,4.080000,4.130000,3.990000,4.110000,4.081621,1702000
2023-08-15,4.020000,4.070000,3.990000,4.050000,4.022035,1580100
2023-08-16,4.040000,4.100000,3.990000,4.000000,3.972380,1777200
2023-08-17,4.070000,4.220000,4.070000,4.140000,4.111413,2109200
2023-08-18,4.080000,4.230000,4.060000,4.220000,4.190861,1591900
2023-08-21,4.250000,4.300000,4.150000,4.180000,4.151137,1170000
2023-08-22,4.160000,4.220000,4.110000,4.120000,4.091551,1339900
2023-08-23,4.060000,4.070000,3.950000,4.010000,3.982311,1778000
2023-08-24,3.970000,4.030000,3.890000,3.900000,3.873071,1489000
2023-08-25,4.040000,4.040000,3.880000,3.960000,3.932656,1324200
2023-08-28,3.990000,4.030000,3.960000,3.990000,3.962449,1074500
2023-08-29,3.970000,4.050000,3.920000,4.010000,3.982311,1502900
2023-08-30,4.050000,4.140000,4.010000,4.110000,4.081621,1747000
2023-08-31,4.130000,4.130000,4.060000,4.080000,4.051828,1481600
2023-09-01,4.140000,4.400000,4.140000,4.390000,4.359687,3245500
2023-09-05,4.410000,4.510000,4.230000,4.230000,4.200792,2916600
2023-09-06,4.260000,4.330000,4.240000,4.280000,4.250447,1614400
2023-09-07,4.270000,4.320000,4.180000,4.190000,4.161068,1714500
2023-09-08,4.210000,4.250000,4.150000,4.200000,4.170999,1274000
2023-09-11,4.240000,4.270000,4.040000,4.060000,4.031966,2461100
2023-09-12,4.100000,4.310000,4.100000,4.300000,4.270309,2015200
2023-09-13,4.290000,4.290000,4.050000,4.080000,4.051828,2552000
2023-09-14,4.140000,4.250000,4.140000,4.200000,4.170999,1897100
2023-09-15,4.170000,4.180000,4.130000,4.160000,4.131275,4519700
2023-09-18,4.200000,4.200000,4.110000,4.160000,4.131275,2137400
2023-09-19,4.200000,4.330000,4.190000,4.200000,4.170999,2230800
2023-09-20,4.180000,4.250000,4.080000,4.100000,4.071690,1576100
2023-09-21,4.180000,4.220000,4.050000,4.090000,4.061759,2237700
2023-09-22,4.180000,4.230000,4.110000,4.120000,4.091551,1676300
2023-09-25,4.110000,4.270000,4.090000,4.260000,4.230585,1756000
2023-09-26,4.200000,4.260000,4.150000,4.160000,4.131275,1548700
2023-09-27,4.250000,4.460000,4.230000,4.390000,4.359687,2694200
2023-09-28,4.410000,4.470000,4.370000,4.440000,4.409342,2071600
2023-09-29,4.460000,4.460000,4.360000,4.380000,4.349756,1537200
2023-10-02,4.420000,4.420000,4.110000,4.170000,4.141206,2382200
2023-10-03,4.150000,4.220000,4.100000,4.170000,4.141206,1432300
2023-10-04,4.100000,4.150000,3.760000,3.800000,3.773761,6166300
