dateFind,optionSymbol,expirationDate,optionType,premium,strike,inTheMoney
2016-01-05,USO160108C00010000,2016-01-08,call,5.68,80.0,True
2016-01-05,USO160108C00010500,2016-01-08,call,2.4,84.0,True
2016-01-05,USO160108C00011000,2016-01-08,call,0.8,88.0,False
2016-01-05,USO160108C00011500,2016-01-08,call,0.24,92.0,False
2016-01-05,USO160108P00010000,2016-01-08,put,0.24,80.0,False
2016-01-05,USO160108P00010500,2016-01-08,put,1.12,84.0,False
2016-01-05,USO160108P00011000,2016-01-08,put,3.36,88.0,True
2016-01-05,USO160108P00011500,2016-01-08,put,6.48,92.0,True
2016-01-12,USO160122C00008500,2016-01-22,call,6.32,68.0,True
2016-01-12,USO160122C00009000,2016-01-22,call,3.84,72.0,True
2016-01-12,USO160122C00009500,2016-01-22,call,2.0,76.0,False
2016-01-12,USO160122C00010000,2016-01-22,call,0.96,80.0,False
2016-01-12,USO160122P00008500,2016-01-22,put,1.28,68.0,False
2016-01-12,USO160122P00009000,2016-01-22,put,2.56,72.0,False
2016-01-12,USO160122P00009500,2016-01-22,put,4.56,76.0,True
2016-01-12,USO160122P00010000,2016-01-22,put,7.92,80.0,True
2016-01-19,USO160122C00008000,2016-01-22,call,4.48,64.0,True
2016-01-19,USO160122C00008500,2016-01-22,call,1.68,68.0,False
2016-01-19,USO160122C00009000,2016-01-22,call,0.48,72.0,False
2016-01-19,USO160122P00008000,2016-01-22,put,0.48,64.0,False
2016-01-19,USO160122P00008500,2016-01-22,put,1.76,68.0,True
2016-01-19,USO160122P00009000,2016-01-22,put,4.56,72.0,True
2016-01-26,USO160129C00008500,2016-01-29,call,4.48,68.0,True
2016-01-26,USO160129C00009000,2016-01-29,call,1.92,72.0,False
2016-01-26,USO160129C00009500,2016-01-29,call,0.64,76.0,False
2016-01-26,USO160129P00008500,2016-01-29,put,0.8,68.0,False
2016-01-26,USO160129P00009000,2016-01-29,put,2.16,72.0,True
2016-01-26,USO160129P00009500,2016-01-29,put,4.88,76.0,True
2016-02-02,USO160205C00008000,2016-02-05,call,5.12,64.0,True
2016-02-02,USO160205C00008500,2016-02-05,call,2.4,68.0,True
2016-02-02,USO160205C00009000,2016-02-05,call,0.88,72.0,False
2016-02-02,USO160205P00008000,2016-02-05,put,0.56,64.0,False
2016-02-02,USO160205P00008500,2016-02-05,put,1.68,68.0,False
